Year,Start Date,End Date,Primal Sign
1900,Jan 01,Jan 19,Spider
1900,Jan 20,Jan 30,Pufferfish
1900,Jan 31,Feb 19,Meerkat
1900,Feb 20,Mar 20,Lemming
1900,Mar 21,Apr 19,Piranha
1900,Apr 20,May 20,Squirrel
1900,May 21,Jun 21,Chipmunk
1900,Jun 22,Jul 21,Seahorse
1900,Jul 22,Aug 22,Otter
1900,Aug 23,Sep 22,Mouse
1900,Sep 23,Oct 23,Vulture
1900,Oct 24,Nov 21,Anaconda
1900,Nov 22,Dec 21,Skunk
1900,Dec 22,Dec 31,Aardvark
1901,Jan 01,Jan 19,Aardvark
1901,Jan 20,Feb 18,Meerkat
1901,Feb 19,Feb 19,Walrus
1901,Feb 20,Mar 20,Moose
1901,Mar 21,Apr 19,Hippopotamus
1901,Apr 20,May 20,Yak
1901,May 21,Jun 21,Coyote
1901,Jun 22,Jul 21,Black Bear
1901,Jul 22,Aug 22,Sun Bear
1901,Aug 23,Sep 22,Sea Star
1901,Sep 23,Oct 23,Elephant
1901,Oct 24,Nov 21,Platypus
1901,Nov 22,Dec 21,Raccoon
1901,Dec 22,Dec 31,Ant
1902,Jan 01,Jan 19,Ant
1902,Jan 20,Feb 07,Walrus
1902,Feb 08,Feb 19,Panther
1902,Feb 20,Mar 20,Stingray
1902,Mar 21,Apr 19,Rhinoceros
1902,Apr 20,May 20,Wolf
1902,May 21,Jun 21,Chimpanzee
1902,Jun 22,Jul 21,Vampire Bat
1902,Jul 22,Aug 22,Wolverine
1902,Aug 23,Sep 22,Narwhal
1902,Sep 23,Oct 23,Tasmanian Devil
1902,Oct 24,Nov 21,Honey Badger
1902,Nov 22,Dec 21,Mongoose
1902,Dec 22,Dec 31,Komodo Dragon
1903,Jan 01,Jan 19,Komodo Dragon
1903,Jan 20,Jan 28,Panther
1903,Jan 29,Feb 19,Sloth
1903,Feb 20,Mar 20,Silkworm
1903,Mar 21,Apr 19,Llama
1903,Apr 20,May 20,Hedgehog
1903,May 21,Jun 21,Toucan
1903,Jun 22,Jul 21,Turtle
1903,Jul 22,Aug 22,Angora Rabbit
1903,Aug 23,Sep 22,Earthworm
1903,Sep 23,Oct 23,Butterfly
1903,Oct 24,Nov 21,Koala
1903,Nov 22,Dec 21,Sugar Glider
1903,Dec 22,Dec 31,Weaver Finch
1904,Jan 01,Jan 19,Weaver Finch
